period,region,abbrevs,names,days100_p10,days100_p50,days100_p90
0,0,0,Western Australia,0.0,0.0,0.0
0,1,1,Northern Territory,0.0,0.0,0.0
0,2,2,Mount Lofty Ranges and Kangaroo Island,0.0,0.0,0.0
0,3,3,Green Triangle,0.0,0.0,0.0
0,4,4,Northern Queensland,0.0,0.0,0.0
0,5,5,South East Queensland,0.0,0.0,0.0
0,6,6,Northern Tablelands,0.0,0.0,0.0
0,7,7,North Coast,0.0,0.0,0.0
0,8,8,Central Tablelands,0.0,0.0,0.0
0,9,9,Southern Tablelands,0.0,0.0,0.0
0,10,10,Murray Valley,0.0,0.0,0.0
0,11,11,Central Victoria,0.0,0.0,0.0
0,12,12,Central Gippsland,0.0,0.0,0.0
0,13,13,East GippslandBombala,0.0,0.0,0.0
0,14,14,Tasmania,0.0,0.0,0.0
0,15,15,Pilliga,0.0,0.0,0.0
0,16,16,SE NSW,0.0,0.0,0.0
1,0,0,Western Australia,0.0,0.04,0.14
1,1,1,Northern Territory,0.0,-0.0,0.01
1,2,2,Mount Lofty Ranges and Kangaroo Island,0.0,0.0,0.04
1,3,3,Green Triangle,0.0,0.0,0.11
1,4,4,Northern Queensland,0.0,0.0,0.0
1,5,5,South East Queensland,0.0,0.0,0.0
1,6,6,Northern Tablelands,0.0,0.0,0.0
1,7,7,North Coast,0.0,0.0,0.0
1,8,8,Central Tablelands,0.0,0.0,0.01
1,9,9,Southern Tablelands,0.0,0.0,0.0
1,10,10,Murray Valley,0.0,0.0,0.02
1,11,11,Central Victoria,0.0,0.0,0.07
1,12,12,Central Gippsland,0.0,0.0,0.01
1,13,13,East GippslandBombala,0.0,0.0,0.0
1,14,14,Tasmania,0.0,0.0,0.0
1,15,15,Pilliga,0.0,0.0,0.02
1,16,16,SE NSW,0.0,0.0,-0.0
2,0,0,Western Australia,0.02,0.08,0.39
2,1,1,Northern Territory,-0.01,0.0,0.01
2,2,2,Mount Lofty Ranges and Kangaroo Island,0.0,0.02,0.21
2,3,3,Green Triangle,0.0,0.0,0.36
2,4,4,Northern Queensland,0.0,0.0,0.0
2,5,5,South East Queensland,0.0,0.0,0.0
2,6,6,Northern Tablelands,0.0,0.0,0.0
2,7,7,North Coast,0.0,0.0,0.0
2,8,8,Central Tablelands,0.0,0.0,0.03
2,9,9,Southern Tablelands,0.0,0.0,0.0
2,10,10,Murray Valley,-0.01,0.0,0.11
2,11,11,Central Victoria,0.0,0.0,0.15
2,12,12,Central Gippsland,0.0,0.0,0.0
2,13,13,East GippslandBombala,0.0,0.0,0.0
2,14,14,Tasmania,0.0,0.0,0.0
2,15,15,Pilliga,-0.02,0.0,0.05
2,16,16,SE NSW,0.0,0.0,0.01
3,0,0,Western Australia,0.02,0.22,0.44
3,1,1,Northern Territory,0.0,0.0,0.06
3,2,2,Mount Lofty Ranges and Kangaroo Island,0.0,0.02,0.29
3,3,3,Green Triangle,0.0,0.02,0.31
3,4,4,Northern Queensland,0.0,0.0,0.0
3,5,5,South East Queensland,0.0,0.0,0.0
3,6,6,Northern Tablelands,0.0,0.0,0.0
3,7,7,North Coast,0.0,0.0,0.02
3,8,8,Central Tablelands,0.0,0.0,0.04
3,9,9,Southern Tablelands,0.0,0.0,0.01
3,10,10,Murray Valley,0.0,0.0,0.19
3,11,11,Central Victoria,0.0,0.01,0.21
3,12,12,Central Gippsland,0.0,0.01,0.03
3,13,13,East GippslandBombala,0.0,0.0,0.0
3,14,14,Tasmania,0.0,0.0,0.0
3,15,15,Pilliga,0.0,0.08,0.13
3,16,16,SE NSW,0.0,0.0,0.02
