period,region,abbrevs,names,days100_p10,days100_p50,days100_p90
0,0,WANorth,Western Australia North,0.0,0.0,0.0
0,1,WASouth,Western Australia South,0.0,0.0,0.0
0,2,NSW,New South Wales and Australian Capital Territory,0.0,0.0,0.0
0,3,VIC,Victoria,0.0,0.0,0.0
0,4,SA,South Australia,0.0,0.0,0.0
0,5,TAS,Tasmania,0.0,0.0,0.0
0,6,NT,Northern Territory,0.0,0.0,0.0
0,7,QLDNorth,Queensland North,0.0,0.0,0.0
0,8,QLDSouth,Queensland South,0.0,0.0,0.0
0,9,AUS,Australia,0.0,0.0,0.0
1,0,WANorth,Western Australia North,10.64,26.21,33.78
1,1,WASouth,Western Australia South,5.67,18.66,27.4
1,2,NSW,New South Wales and Australian Capital Territory,2.61,5.48,13.22
1,3,VIC,Victoria,0.68,1.82,4.81
1,4,SA,South Australia,6.85,15.95,26.9
1,5,TAS,Tasmania,0.0,0.0,0.01
1,6,NT,Northern Territory,8.05,15.9,28.89
1,7,QLDNorth,Queensland North,2.26,4.28,11.32
1,8,QLDSouth,Queensland South,6.55,12.12,22.79
1,9,AUS,Australia,6.5,15.27,22.89
2,0,WANorth,Western Australia North,10.78,34.33,40.32
2,1,WASouth,Western Australia South,11.57,23.9,37.48
2,2,NSW,New South Wales and Australian Capital Territory,2.3,7.58,13.18
2,3,VIC,Victoria,0.83,2.78,6.53
2,4,SA,South Australia,11.67,20.36,37.9
2,5,TAS,Tasmania,0.0,-0.0,0.01
2,6,NT,Northern Territory,9.18,21.09,31.05
2,7,QLDNorth,Queensland North,2.71,6.3,10.63
2,8,QLDSouth,Queensland South,7.68,14.73,21.03
2,9,AUS,Australia,10.36,19.37,25.67
3,0,WANorth,Western Australia North,18.08,41.32,45.69
3,1,WASouth,Western Australia South,12.63,31.74,40.51
3,2,NSW,New South Wales and Australian Capital Territory,4.88,12.69,20.24
3,3,VIC,Victoria,1.6,4.04,9.22
3,4,SA,South Australia,16.32,28.67,38.83
3,5,TAS,Tasmania,0.0,0.0,0.02
3,6,NT,Northern Territory,11.6,29.48,42.78
3,7,QLDNorth,Queensland North,3.19,11.86,15.79
3,8,QLDSouth,Queensland South,8.95,22.1,30.42
3,9,AUS,Australia,12.95,26.04,33.16
